commit f5cd8387d156aa2b8f081c63dda066a4fbed9bf4
Merge: 8a390bb9 827e3a52
Author: pr1m8 <william.astley@algebraicwealth.com>
Date:   Mon Jul 28 09:32:58 2025 -0400

    On feature/fix_everything: WIP: Before testing unterminated string fixes

 CRITICAL_VALIDATION_TOOL_ISSUES.md                 |      71 +
 MEMORY_LATS_V3_ENHANCEDMULTIAGENTV4_NOTES.md       |     158 +
 ...NTV3_ENHANCEDMULTIAGENTV4_COMPATIBILITY_TEST.md |      90 +
 docs/FINAL_DOCUMENTATION_AUTOMATION_PLAN.md        |     437 -
 docs/agent_showcase_data.json                      |    9781 +-
 docs/source/EXTENSION_ADDITION_PLAN.md             |      40 +
 docs/source/agents/complete_index.md               |    3017 +-
 docs/source/agents/showcase.md                     |     775 +
 docs/source/agents/showcase.rst                    |       1 -
 docs/source/conf.py                                |      63 +-
 docs/source/conf_working_baseline.py               |      27 +
 docs/source/discovered_readmes/index.rst           |     439 +
 .../packages/haive-agents/README.md                |     464 +
 .../haive-agents/docs/supervisor/README.md         |     393 +
 .../haive-agents/examples/supervisor/README.md     |     409 +
 .../packages/haive-agents/galleries/README.md      |     128 +
 .../haive-agents/galleries/beginner/README.md      |      95 +
 .../haive-agents/src/haive/agents/react/README.md  |     529 +
 .../haive-agents/src/haive/agents/README.md        |     525 +
 .../haive-agents/src/haive/agents/base/README.md   |     150 +
 .../src/haive/agents/base/mixins/README.md         |     126 +
 .../src/haive/agents/conversation/README.md        |      46 +
 .../src/haive/agents/conversation/base/README.md   |     218 +
 .../agents/conversation/collaberative/README.md    |     466 +
 .../src/haive/agents/conversation/debate/README.md |     422 +
 .../haive/agents/conversation/directed/README.md   |     424 +
 .../agents/conversation/round_robin/README.md      |     340 +
 .../agents/conversation/social_media/README.md     |     Bin 0 -> 15458 bytes
 .../src/haive/agents/discovery/README.md           |     273 +
 .../src/haive/agents/document/README.md            |     509 +
 .../src/haive/agents/document_loader/README.md     |      46 +
 .../haive/agents/document_loader/base/README.md    |      37 +
 .../agents/document_loader/directory/README.md     |      37 +
 .../agents/document_loader/examples/README.md      |      37 +
 .../haive/agents/document_loader/file/README.md    |      37 +
 .../src/haive/agents/document_loader/web/README.md |      37 +
 .../src/haive/agents/document_modifiers/README.md  |     344 +
 .../haive/agents/document_modifiers/base/README.md |     207 +
 .../complex_extraction/README.md                   |     435 +
 .../agents/document_modifiers/kg/kg_base/README.md |     355 +
 .../kg/kg_iterative_refinement/README.md           |     417 +
 .../document_modifiers/kg/kg_map_merge/README.md   |      37 +
 .../agents/document_modifiers/summarizer/README.md |      41 +
 .../summarizer/iterative_refinement/README.md      |      37 +
 .../summarizer/map_branch/README.md                |      37 +
 .../haive/agents/document_modifiers/tnt/README.md  |     300 +
 .../src/haive/agents/document_processing/README.md |     429 +
 .../src/haive/agents/dynamic_supervisor/README.md  |     281 +
 .../src/haive/agents/long_term_memory/README.md    |      37 +
 .../haive-agents/src/haive/agents/memory/README.md |     501 +
 .../haive-agents/src/haive/agents/multi/README.md  |     267 +
 .../src/haive/agents/multi/sequential/README.md    |      37 +
 .../src/haive/agents/planning/README.md            |      44 +
 .../haive/agents/planning/llm_compiler/README.md   |      37 +
 .../agents/planning/llm_compiler_v3/README.md      |     346 +
 .../agents/planning/plan_and_execute/README.md     |      37 +
 .../agents/planning/plan_execute_v3/README.md      |     349 +
 .../haive-agents/src/haive/agents/rag/README.md    |     201 +
 .../src/haive/agents/rag/adaptive_rag/README.md    |      37 +
 .../src/haive/agents/rag/base/README.md            |      37 +
 .../agents/rag/common/answer_generators/README.md  |      37 +
 .../agents/rag/common/document_graders/README.md   |      39 +
 .../document_graders/binary_grader/README.md       |      37 +
 .../rag/common/hallucination_graders/README.md     |      37 +
 .../rag/common/query_constructors/flare/README.md  |      37 +
 .../rag/common/query_constructors/hyde/README.md   |      37 +
 .../agents/rag/common/query_refinement/README.md   |      37 +
 .../src/haive/agents/rag/db_rag/README.md          |      43 +
 .../src/haive/agents/rag/db_rag/base/README.md     |      37 +
 .../src/haive/agents/rag/db_rag/graph_db/README.md |      37 +
 .../src/haive/agents/rag/db_rag/sql_rag/README.md  |      37 +
 .../src/haive/agents/rag/filtered/README.md        |      37 +
 .../src/haive/agents/rag/hyde/README.md            |      37 +
 .../src/haive/agents/rag/llm_rag/README.md         |      37 +
 .../src/haive/agents/rag/multi_strategy/README.md  |      37 +
 .../src/haive/agents/rag/self_corr/README.md       |      37 +
 .../src/haive/agents/rag/self_rag2/README.md       |      37 +
 .../haive-agents/src/haive/agents/react/README.md  |     176 +
 .../src/haive/agents/react_class/README.md         |      45 +
 .../haive/agents/react_class/react_agent/README.md |      37 +
 .../agents/react_class/react_agent2/README.md      |      39 +
 .../react_class/react_agent2/many_tools/README.md  |      37 +
 .../agents/react_class/react_many_tools/README.md  |      37 +
