created,created_at,display_name,id,model_id,object,owned_by,provider,type
1698798177,,,dall-e-2,,model,system,OpenAI,
1721172717,,,gpt-4o-mini-2024-07-18,,model,system,OpenAI,
1721172741,,,gpt-4o-mini,,model,system,OpenAI,
1692634615,,,babbage-002,,model,system,OpenAI,
1739331543,,,gpt-4o-2024-11-20,,model,system,OpenAI,
1677532384,,,whisper-1,,model,openai-internal,OpenAI,
1741391161,,,gpt-4o-mini-search-preview,,model,system,OpenAI,
1741390858,,,gpt-4o-mini-search-preview-2025-03-11,,model,system,OpenAI,
1733945430,,,gpt-4o-realtime-preview-2024-12-17,,model,system,OpenAI,
1692634301,,,davinci-002,,model,system,OpenAI,
1699046015,,,tts-1-hd,,model,system,OpenAI,
1744315746,,,gpt-4.1-2025-04-14,,model,system,OpenAI,
1712361441,,,gpt-4-turbo,,model,system,OpenAI,
1712601677,,,gpt-4-turbo-2024-04-09,,model,system,OpenAI,
1738010200,,,o3-mini-2025-01-31,,model,system,OpenAI,
1744316542,,,gpt-4.1,,model,system,OpenAI,
1694122472,,,gpt-3.5-turbo-instruct-0914,,model,system,OpenAI,
1744317547,,,gpt-4.1-mini-2025-04-14,,model,system,OpenAI,
1744318173,,,gpt-4.1-mini,,model,system,OpenAI,
1692901427,,,gpt-3.5-turbo-instruct,,model,system,OpenAI,
1742403959,,,gpt-4o-mini-tts,,model,system,OpenAI,
1744321025,,,gpt-4.1-nano-2025-04-14,,model,system,OpenAI,
1715367049,,,gpt-4o,,model,system,OpenAI,
1744133506,,,o4-mini-2025-04-16,,model,system,OpenAI,
1687882411,,,gpt-4,,model,openai,OpenAI,
1671217299,,,text-embedding-ada-002,,model,openai-internal,OpenAI,
1734326976,,,o1-2024-12-17,,model,system,OpenAI,
1698785189,,,dall-e-3,,model,system,OpenAI,
1699053533,,,tts-1-hd-1106,,model,system,OpenAI,
1737146383,,,o3-mini,,model,system,OpenAI,
1727460443,,,gpt-4o-audio-preview,,model,system,OpenAI,
1715368132,,,gpt-4o-2024-05-13,,model,system,OpenAI,
1741388170,,,gpt-4o-search-preview-2025-03-11,,model,system,OpenAI,
1741388720,,,gpt-4o-search-preview,,model,system,OpenAI,
1683758102,,,gpt-3.5-turbo-16k,,model,openai-internal,OpenAI,
1725649008,,,o1-mini,,model,system,OpenAI,
1686588896,,,gpt-4-0613,,model,openai,OpenAI,
1727659998,,,gpt-4o-realtime-preview,,model,system,OpenAI,
1725648979,,,o1-mini-2024-09-12,,model,system,OpenAI,
1744321707,,,gpt-4.1-nano,,model,system,OpenAI,
1742068463,,,gpt-4o-transcribe,,model,system,OpenAI,
1722814719,,,gpt-4o-2024-08-06,,model,system,OpenAI,
1740623059,,,gpt-4.5-preview,,model,system,OpenAI,
1740623304,,,gpt-4.5-preview-2025-02-27,,model,system,OpenAI,
1706037777,,,gpt-4-turbo-preview,,model,system,OpenAI,
1706037612,,,gpt-4-0125-preview,,model,system,OpenAI,
1727131766,,,gpt-4o-realtime-preview-2024-10-01,,model,system,OpenAI,
1698957206,,,gpt-4-1106-preview,,model,system,OpenAI,
1677610602,,,gpt-3.5-turbo,,model,openai,OpenAI,
1734112601,,,gpt-4o-mini-realtime-preview-2024-12-17,,model,system,OpenAI,
1734115920,,,gpt-4o-mini-audio-preview-2024-12-17,,model,system,OpenAI,
1723515131,,,chatgpt-4o-latest,,model,system,OpenAI,
1734387380,,,gpt-4o-mini-realtime-preview,,model,system,OpenAI,
1744225351,,,o4-mini,,model,system,OpenAI,
1734034239,,,gpt-4o-audio-preview-2024-12-17,,model,system,OpenAI,
1742251504,,,o1-pro-2025-03-19,,model,system,OpenAI,
1698959748,,,gpt-3.5-turbo-1106,,model,system,OpenAI,
1741377021,,,computer-use-preview-2025-03-11,,model,system,OpenAI,
1734375816,,,o1,,model,system,OpenAI,
1699053241,,,tts-1-1106,,model,system,OpenAI,
1727389042,,,gpt-4o-audio-preview-2024-10-01,,model,system,OpenAI,
1681940951,,,tts-1,,model,openai-internal,OpenAI,
1745517030,,,gpt-image-1,,model,system,OpenAI,
1742251791,,,o1-pro,,model,system,OpenAI,
1706048358,,,gpt-3.5-turbo-0125,,model,system,OpenAI,
1746673257,,,codex-mini-latest,,model,system,OpenAI,
1734387424,,,gpt-4o-mini-audio-preview,,model,system,OpenAI,
1705948997,,,text-embedding-3-small,,model,system,OpenAI,
1742068596,,,gpt-4o-mini-transcribe,,model,system,OpenAI,
1705953180,,,text-embedding-3-large,,model,system,OpenAI,
1732734466,,,omni-moderation-2024-09-26,,model,system,OpenAI,
1731689265,,,omni-moderation-latest,,model,system,OpenAI,
1734655677,,,computer-use-preview,,model,system,OpenAI,
1725648897,,,o1-preview,,model,system,OpenAI,
1725648865,,,o1-preview-2024-09-12,,model,system,OpenAI,
,2025-05-22 00:00:00+00:00,Claude Opus 4,claude-opus-4-20250514,,,,Anthropic,model
,2025-05-22 00:00:00+00:00,Claude Sonnet 4,claude-sonnet-4-20250514,,,,Anthropic,model
,2025-02-24 00:00:00+00:00,Claude Sonnet 3.7,claude-3-7-sonnet-20250219,,,,Anthropic,model
,2024-10-22 00:00:00+00:00,Claude Sonnet 3.5 (New),claude-3-5-sonnet-20241022,,,,Anthropic,model
,2024-10-22 00:00:00+00:00,Claude Haiku 3.5,claude-3-5-haiku-20241022,,,,Anthropic,model
,2024-06-20 00:00:00+00:00,Claude Sonnet 3.5 (Old),claude-3-5-sonnet-20240620,,,,Anthropic,model
,2024-03-07 00:00:00+00:00,Claude Haiku 3,claude-3-haiku-20240307,,,,Anthropic,model
,2024-02-29 00:00:00+00:00,Claude Opus 3,claude-3-opus-20240229,,,,Anthropic,model
,2024-02-29 00:00:00+00:00,Claude Sonnet 3,claude-3-sonnet-20240229,,,,Anthropic,model
,2023-11-21 00:00:00+00:00,Claude 2.1,claude-2.1,,,,Anthropic,model
,2023-07-11 00:00:00+00:00,Claude 2.0,claude-2.0,,,,Anthropic,model
,,,,deepseek-chat,,,DeepSeek,
,,,,deepseek-reasoner,,,DeepSeek,
